"시점","항목",전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함)
"시점","항목",전체,29세이하,30~39세,40~49세,50~59세,60세이상,전체,29세이하,30~39세,40~49세,50~59세,60세이상,전체,29세이하,30~39세,40~49세,50~59세,60세이상,전체,29세이하,30~39세,40~49세,50~59세,60세이상,전체,29세이하,30~39세,40~49세,50~59세,60세이상
"2021","총근로일수 (일)",20.8,19.8,21.5,21.3,20.9,20.0,-,-,-,-,-,-,22.1,22.0,22.0,22.2,22.2,22.0,16.9,15.8,18.3,16.9,16.5,17.6,-,-,-,-,-,-
"2021","총근로시간 (시간)",164.2,155.0,174.3,169.9,163.7,149.1,-,-,-,-,-,-,180.2,180.1,181.3,181.0,181.0,173.2,115.4,107.9,133.2,113.3,109.4,120.0,-,-,-,-,-,-
"2021","소정실근로시간 (시간)",157.2,148.0,165.7,162.6,156.9,145.5,-,-,-,-,-,-,172.2,171.9,172.5,172.9,172.8,168.9,111.7,103.2,125.7,110.1,107.3,117.3,-,-,-,-,-,-
"2021","초과근로시간 (시간)",6.9,7.0,8.6,7.3,6.8,3.6,-,-,-,-,-,-,8.0,8.2,8.8,8.1,8.2,4.3,3.7,4.7,7.5,3.2,2.1,2.7,-,-,-,-,-,-
"2021","휴일근로시간 (시간)",1.7,1.5,2.0,1.8,1.9,0.9,-,-,-,-,-,-,2.0,1.8,2.0,2.0,2.3,1.1,0.9,1.1,1.7,0.7,0.5,0.7,-,-,-,-,-,-
"2021","시간당임금총액 (원)",19806,14230,20185,22699,21952,17073,-,-,-,-,-,-,21230,15543,20803,23674,23395,18703,15482,11764,16593,17765,17425,15105,-,-,-,-,-,-
"2021","시간당정액급여 (원)",17931,13289,17987,20207,19655,16432,-,-,-,-,-,-,18835,14210,18311,20760,20456,17734,15188,11559,16104,17409,17143,14862,-,-,-,-,-,-
"2021","월임금총액 (천원)",3271,2265,3487,3853,3610,2511,3250,2261,3455,3809,3583,2516,3795,2779,3735,4251,4195,3217,1681,1298,2042,1839,1773,1659,1879,1371,2187,2139,2058,1771
"2021","월급여액 (천원)",2974,2132,3136,3446,3240,2420,2967,2133,3119,3424,3236,2430,3410,2583,3334,3773,3719,3070,1649,1285,1990,1794,1738,1636,1853,1359,2146,2105,2030,1750
"2021","정액급여 (천원)",2816,1999,2943,3263,3076,2349,2817,2003,2933,3250,3081,2363,3222,2419,3129,3565,3515,2984,1583,1208,1861,1733,1697,1583,1798,1289,2045,2060,1998,1704
"2021","초과급여 (천원)",158,134,193,183,165,71,150,129,186,173,155,67,188,164,204,207,204,86,67,77,129,60,40,52,55,70,101,45,32,46
"2021","전년도 연간특별급여/12개월 (천원)",298,132,350,407,369,91,283,128,337,386,348,86,385,196,402,479,476,147,31,14,52,45,36,23,26,12,41,34,28,21
"2021","전년도 연간특별급여 (천원)",3572,1589,4204,4885,4434,1095,3399,1539,4038,4627,4173,1031,4625,2348,4820,5743,5710,1769,375,162,629,542,428,281,314,150,498,409,342,248
