"시점","항목",전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자,전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),전체근로자(특수형태포함),정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규근로자,비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함),비정규직근로자(특수형태포함)
"시점","항목",전직종,관리자(1),전문가 및 관련종사자(2),사무 종사자(3),서비스 종사자(4),판매 종사자(5),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9),전직종,관리자(1),전문가 및 관련종사자(2),사무 종사자(3),서비스 종사자(4),판매 종사자(5),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9),전직종,관리자(1),전문가 및 관련종사자(2),사무 종사자(3),서비스 종사자(4),판매 종사자(5),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9),전직종,관리자(1),전문가 및 관련종사자(2),사무 종사자(3),서비스 종사자(4),판매 종사자(5),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9),전직종,관리자(1),전문가 및 관련종사자(2),사무 종사자(3),서비스 종사자(4),판매 종사자(5),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9)
"2021","총근로일수 (일)",20.8,22.0,21.4,21.8,20.0,20.0,18.6,18.6,22.0,19.0,-,-,-,-,-,-,-,-,-,-,22.1,22.0,22.0,21.9,22.4,22.3,22.3,22.4,22.3,22.3,16.9,21.8,18.0,20.1,17.7,14.4,14.9,13.1,20.5,16.6,-,-,-,-,-,-,-,-,-,-
"2021","총근로시간 (시간)",164.2,178.1,169.4,173.5,133.1,152.5,145.5,151.1,187.5,147.6,-,-,-,-,-,-,-,-,-,-,180.2,178.4,177.9,177.3,175.5,178.9,177.5,183.8,190.3,182.9,115.4,172.4,117.5,139.1,93.4,86.2,112.6,103.9,170.1,121.7,-,-,-,-,-,-,-,-,-,-
"2021","소정실근로시간 (시간)",157.2,174.4,164.0,169.1,129.6,149.1,140.9,143.9,168.2,140.6,-,-,-,-,-,-,-,-,-,-,172.2,174.5,172.0,172.7,170.2,174.7,171.5,173.3,170.8,172.0,111.7,171.6,115.2,136.7,91.6,85.0,109.4,101.5,152.5,117.5,-,-,-,-,-,-,-,-,-,-
"2021","초과근로시간 (시간)",6.9,3.7,5.4,4.4,3.4,3.3,4.6,7.2,19.2,7.0,-,-,-,-,-,-,-,-,-,-,8.0,3.9,5.9,4.6,5.2,4.2,6.0,10.6,19.5,10.9,3.7,0.8,2.3,2.4,1.8,1.2,3.2,2.4,17.7,4.2,-,-,-,-,-,-,-,-,-,-
"2021","휴일근로시간 (시간)",1.7,0.9,1.0,0.8,0.8,0.9,2.2,2.5,5.3,1.9,-,-,-,-,-,-,-,-,-,-,2.0,0.9,1.0,0.9,1.3,1.1,2.9,3.8,5.5,3.0,0.9,0.2,0.5,0.4,0.4,0.5,1.4,0.7,4.2,1.0,-,-,-,-,-,-,-,-,-,-
"2021","시간당임금총액 (원)",19806,62043,23898,22441,12295,16398,15962,20226,18074,13074,-,-,-,-,-,-,-,-,-,-,21230,61325,24132,23282,13133,18749,15777,18586,18730,13150,15482,77970,22466,14732,11510,10516,16153,22585,14070,13018,-,-,-,-,-,-,-,-,-,-
"2021","시간당정액급여 (원)",17931,54425,21549,20066,11944,15355,15365,18895,15174,12567,-,-,-,-,-,-,-,-,-,-,18835,53964,21498,20705,12492,17314,14748,16399,15485,12229,15188,64644,21866,14208,11431,10453,15998,22486,13279,12815,-,-,-,-,-,-,-,-,-,-
"2021","월임금총액 (천원)",3271,10947,3967,3911,1632,2659,2177,2903,3370,1870,3250,10947,3848,3905,1689,2721,2180,2896,3441,1901,3795,10829,4264,4111,2253,3345,2773,3394,3544,2395,1681,13555,2150,2074,1051,944,1565,2196,2310,1484,1879,13555,2108,2084,1208,1937,1572,2193,2930,1556
"2021","월급여액 (천원)",2974,9630,3570,3508,1598,2485,2089,2697,2973,1818,2967,9630,3475,3503,1656,2585,2091,2691,3056,1849,3410,9557,3818,3673,2187,3103,2615,3050,3088,2286,1649,11238,2057,1997,1046,939,1548,2188,2268,1473,1853,11238,2044,2009,1203,1934,1555,2186,2895,1546
"2021","정액급여 (천원)",2816,9480,3427,3403,1532,2418,2002,2540,2529,1693,2817,9480,3340,3399,1593,2532,2005,2536,2626,1729,3222,9402,3659,3562,2080,3016,2489,2814,2625,2087,1583,11195,2005,1950,1018,921,1502,2147,1947,1403,1798,11195,2009,1964,1178,1925,1509,2145,2631,1479
"2021","초과급여 (천원)",158,150,144,104,66,67,87,156,444,125,150,150,135,104,63,52,86,155,430,121,188,155,159,111,107,87,126,236,464,199,67,42,52,47,28,18,46,42,321,70,55,42,35,45,26,9,46,41,264,66
"2021","전년도 연간특별급여/12개월 (천원)",298,1317,396,403,35,174,88,206,397,53,283,1317,372,402,33,136,88,204,385,51,385,1272,446,439,66,242,158,344,455,109,31,2318,93,78,5,6,17,7,42,11,26,2318,64,75,5,3,17,7,34,11
"2021","전년도 연간특별급여 (천원)",3572,15804,4756,4840,417,2091,1062,2471,4765,631,3399,15804,4467,4822,398,1631,1060,2451,4623,613,4625,15263,5352,5266,797,2899,1895,4127,5464,1310,375,27811,1111,932,61,70,206,90,500,131,314,27811,765,900,57,37,206,88,411,128
